<Trait>	SdArea_cm2	Hgt_cm	Hdng_grp
H0710	7.316853333	135.2241333	2.377966667
H0711	7.23352	136.8908	0.7113
H0712	7.496853333	146.8908	1.044633333
H0713	6.60352	141.8908	0.044633333
H0714	7.610186667	161.8908	0.044633333
H0715	6.806853333	161.8908	0.7113
H0716	8.160186667	161.8908	1.044633333
H0717	6.860186667	153.5574667	1.7113
H0718	7.166853333	150.2241333	1.044633333
H0719	6.486853333	161.8908	1.044633333
H0720	6.760186667	143.5574667	1.044633333
H0721	6.466853333	141.8908	2.044633333
H0722	7.57352	158.5574667	1.377966667
H0723	8.66352	150.2241333	1.044633333
H0724	7.78352	160.2241333	1.377966667
H0725	7.50352	166.8908	1.377966667
H0726	7.586853333	163.5574667	1.7113
H0727	8.76352	150.2241333	0.377966667
H0728	6.630186667	131.8908	1.377966667
H0729	6.810186667	143.5574667	1.044633333
H0730	6.83352	141.8908	1.7113
H0731	7.576853333	136.8908	1.044633333
H0732	6.740186667	123.5574667	2.044633333
H0733	8.82352	126.8908	1.044633333
H0734	8.196853333	135.2241333	1.377966667
H0735	6.28352	135.2241333	1.377966667
H0736	7.670186667	131.8908	1.377966667
H0737	6.75352	120.2241333	1.377966667
H0738	7.396853333	135.2241333	1.377966667
H0739	6.906853333	131.8908	1.7113
H0740	7.616853333	138.5574667	1.044633333
H0741	6.950186667	138.5574667	1.377966667
H0742	9.796853333	156.8908	1.044633333
H0743	7.330186667	140.2241333	1.044633333
H0744	7.100186667	133.5574667	1.044633333
H0745	7.60352	153.5574667	1.044633333
H0746	9.98352	143.5574667	1.7113
H0747	6.280186667	106.8908	2.377966667
H0748	7.860186667	156.8908	1.044633333
H0749	7.85352	155.2241333	1.377966667
H0750	7.75352	156.8908	0.7113
H0751	7.346853333	156.8908	1.377966667
H0752	6.796853333	151.8908	1.7113
H0753	6.95352	158.5574667	1.7113
H0754	6.766853333	145.2241333	0.7113
H0755	6.51352	141.8908	1.044633333
H0756	6.75352	153.5574667	1.377966667
H0757	6.99352	156.8908	1.044633333
H0758	7.33352	135.2241333	1.044633333
H0759	6.62352	146.8908	0.377966667
H0760	7.036853333	143.5574667	1.044633333
H0761	6.910186667	140.2241333	0.377966667
H0763	6.620186667	163.5574667	1.7113
H0764	6.82352	146.8908	1.044633333
H0765	7.300186667	136.8908	2.044633333
H0766	6.936853333	131.8908	1.7113
H0767	7.346853333	145.2241333	2.044633333
H0769	6.606853333	128.5574667	2.7113
H0770	7.016853333	136.8908	2.044633333
H0771	7.286853333	143.5574667	1.044633333
H0772	7.120186667	130.2241333	1.377966667
H0773	7.37352	146.8908	0.377966667
H0774	5.996853333	151.8908	1.044633333
H0775	7.00352	133.5574667	0.044633333
H0776	7.440186667	143.5574667	1.044633333
H0777	6.676853333	136.8908	2.044633333
H0778	7.26352	143.5574667	1.7113
H0779	7.31352	146.8908	0.7113
H0780	6.80352	139.3661	0.377966667
H0781	7.12352	140.2241333	-0.2887
H0782	6.296853333	146.8908	0.7113
H0783	5.740186667	135.2241333	-0.2887
H0784	6.940186667	138.5574667	0.044633333
H0791	7.146853333	133.5574667	0.044633333
